Source Page,Category,Item Name,Description / Inclusions,Dietary Preference,Personal Price (₹),Medium Price (₹),Price (₹),Unit / Format,Serving / Size,Calories / Nutrition / Notes
1,Sides,Spicy Baked Chicken Wings,Baked chicken wings with spicy flavour.,Non-Veg,,,219,,4 pc / 6 pc,Price shown ₹219 / ₹299; 189 kcal/100g
1,Pastas,Classic White Sauce Pasta,"Fusilli pasta, creamy white sauce, red bell pepper, olives, onions, capsicum.",Veg,249,279,,,Veg/Non-Veg price pair,176/178 kcal per 100g
1,Pastas,Creamy Tomato Mix Sauce,"Fusilli pasta, creamy white sauce, Italian arrabbiata sauce, red bell pepper, onions, capsicum, paprika.",Veg,199,229,,,Veg/Non-Veg price pair,140/146 kcal per 100g
1,Pastas,Italian Red Sauce,"Fusilli pasta, Italian arrabbiata sauce, red bell pepper, onions, capsicum.",Veg,199,229,,,Veg/Non-Veg price pair,133/140 kcal per 100g
1,Dips,Veg Mayonnaise Dip,Veg mayonnaise dip.,Veg,,,30,,15g,55 kcal/15g
1,Dips,Jalapeño Pepper Dip,Jalapeño pepper dip.,Veg,,,30,,20g,49 kcal/20g
1,Dips,Schezwan Dip,Schezwan dip.,Veg,,,30,,15g,18 kcal/15g
1,Drinks,Masala Guava Pop,Masala guava beverage.,Veg,,,109,Glass,250ml,188 kcal/250ml
1,Drinks,Lemon Mint Mojito,Lemon mint mojito beverage.,Veg,,,109,Glass,220ml,133 kcal/220ml
1,Drinks,Masala Pop,Masala pop beverage.,Veg,,,109,Glass,280ml,218 kcal/280ml
1,Drinks,Fresh Lime,Fresh lime beverage.,Veg,,,109,Glass,215ml,43 kcal/215ml
1,Drinks,Masala Lemonade,Masala lemonade.,Veg,,,109,Glass,250ml,134 kcal/250ml; pitcher ₹389
1,Drinks,Masala Pepsi,Masala Pepsi.,Veg,,,109,Glass,250ml,127 kcal/250ml; pitcher ₹389
1,Drinks,Masala Mirinda,Masala Mirinda.,Veg,,,109,Glass,250ml,157 kcal/250ml; pitcher ₹389
1,Drinks,Pepsi,Pepsi.,Veg,,,99,Glass,250ml,108 kcal/250ml; pitcher ₹339
1,Drinks,7 Up,7 Up.,Veg,,,99,Glass,250ml,115 kcal/250ml
1,Drinks,Mirinda,Mirinda.,Veg,,,99,Glass,250ml,138 kcal/250ml; pitcher ₹339
1,Desserts,Ebony & Ivory (with brownie),Chocolate dessert with brownie.,Veg,,,149,,,381 kcal/118g
1,Desserts,Choco Volcano,Chocolate volcano dessert.,Veg,,,119,,82g,262 kcal/82g
1,Desserts,Brownie-wn-ie,Brownie dessert.,Veg,,,109,,55g,273 kcal/55g
1,Desserts,Choco Lava Romance,Chocolate lava dessert.,Veg,,,99,,55g,90 kcal/55g
2,Melts,Cheezy Cheese Veg,"Onion, green capsicum, red bell pepper, sweet corn, mozzarella cheese, flavourful sauce, cheezy seasoning.",Veg,229,279,,,Veg/Non-Veg price pair,296/268 kcal per 100g
2,Melts,Loaded Veggie BBQ,"Onion, green capsicum, red bell pepper, sweet corn, mushroom, mozzarella cheese, flavourful sauce, barbeque sauce, signature spice seasoning.",Veg,199,249,,,Veg/Non-Veg price pair,255/330 kcal per 100g
2,Pizza - Veg,Margherita,Classic cheese.,Veg,149,329,,,Personal/Medium,Pan 292 kcal/100g; Thin n Crispy 293 kcal/100g
2,Pizza - Veg,Schezwan Margherita,With spicy Schezwan sauce.,Veg,185,359,,,Personal/Medium,Pan 300 kcal/100g; Thin n Crispy 309 kcal/100g
2,Pizza - Veg,Double Cheese Margherita,Extra cheese on a classic Margherita. The ultimate comfort food!,Veg,229,415,,,Personal/Medium,Pan 298 kcal/100g; Thin n Crispy 292 kcal/100g
2,Pizza - Veg,Corn & Cheese,Cheese & sweet corn.,Veg,,,,,,Pan 320 kcal/100g; Thin n Crispy 304 kcal/100g; price not visibly printed in source
2,Pizza - Veg,Veggie Feast,"Sweet corn, herbed onion, green capsicum.",Veg,,,,,,Pan 269 kcal/100g; Thin n Crispy 274 kcal/100g; price not visibly printed in source
2,Pizza - Veg,Spiced Paneer,"Spiced paneer, onion, tomato.",Veg,319,549,,,Personal/Medium,Pan 276 kcal/100g; Thin n Crispy 283 kcal/100g
2,Pizza - Veg,Mexican Fiesta,"Red & green capsicum, jalapeño, onion, black olives, sweet corn.",Veg,,,,,,Pan 266 kcal/100g; Thin n Crispy 258 kcal/100g; price not visibly printed in source
2,Pizza - Veg,Country Feast,"Sweet corn, tomato, herbed onion, green capsicum.",Veg,335,575,,,Personal/Medium,Pan 244 kcal/100g; Thin n Crispy 282 kcal/100g
2,Pizza - Veg,Bold BBQ Veggies,"BBQ sauce, mushroom, onion, green capsicum, red paprika.",Veg,,,,,,Pan 242 kcal/100g; Thin n Crispy 266 kcal/100g; price not visibly printed in source
2,Pizza - Veg,Tandoori Paneer,"Spiced paneer, onion, green capsicum, red paprika, tandoori sauce.",Veg,369,669,,,Personal/Medium,Pan 335 kcal/100g; Thin n Crispy 326 kcal/100g
2,Pizza - Veg,Veggie Supreme,"Onion, green capsicum, mushroom, red paprika, black olives, sweet corn.",Veg,,,,,,Pan 254 kcal/100g; Thin n Crispy 258 kcal/100g; price not visibly printed in source
2,Pizza - Veg,Mazedar Makhni Paneer,"Spiced paneer, onion, red capsicum, makhni sauce, buttery spice sprinkle.",Veg,425,689,,,Personal/Medium,Pan 288 kcal/100g; Thin n Crispy 290 kcal/100g
2,Pizza - Veg,Ultimate Tandoori Veggie,"Green capsicum, onion, mushroom, tomato, jalapeño, tandoori sauce, mint mayo.",Veg,,,,,,Pan 314 kcal/100g; Thin n Crispy 395 kcal/100g; price not visibly printed in source
2,Pizza - Non-Veg,Chicken Sausage,"Cheesy chicken sausage, onion.",Non-Veg,219,405,,,Personal/Medium,Pan 310 kcal/100g; Thin n Crispy 312 kcal/100g
2,Pizza - Non-Veg,Sausage & Sweet Corn,"Cheesy chicken sausage, sweet corn.",Non-Veg,279,495,,,Personal/Medium,Pan 277 kcal/100g; Thin n Crispy 282 kcal/100g
2,Pizza - Non-Veg,Sizzling Schezwan Chicken,"Schezwan chicken meatballs, spicy Schezwan sauce.",Non-Veg,339,615,,,Personal/Medium,Pan 277 kcal/100g; Thin n Crispy 286 kcal/100g
2,Pizza - Non-Veg,Dhabe Da Keema,"Dhaba style chicken keema masala, green chilli, onion, mint mayo.",Non-Veg,,,,,,Pan 270 kcal/100g; Thin n Crispy 290 kcal/100g; price not visibly printed in source
2,Pizza - Non-Veg,Chicken Tikka,"Chicken tikka, tomato, onion, tandoori sauce.",Non-Veg,419,689,,,Personal/Medium,Pan 275 kcal/100g; Thin n Crispy 283 kcal/100g
2,Pizza - Non-Veg,Chicken Pepperoni,"Chicken pepperoni, cheese.",Non-Veg,,,,,,Pan 301 kcal/100g; Thin n Crispy 311 kcal/100g; price not visibly printed in source
2,Pizza - Non-Veg,Murg Malai Chicken,"Chicken malai tikka, red paprika, herbed onion, green capsicum.",Non-Veg,,,,,,Pan 269 kcal/100g; Thin n Crispy 299 kcal/100g; price not visibly printed in source
2,Pizza - Non-Veg,Chicken Supreme,"Herbed chicken, Schezwan chicken meatballs, chicken tikka.",Non-Veg,,,,,,Pan 273 kcal/100g; Thin n Crispy 284 kcal/100g; marked Bestseller; price not visibly printed in source
2,Pizza - Non-Veg,Chicken Tikka Supreme,"Chicken tikka, chicken malai tikka, onion, red paprika.",Non-Veg,439,729,,,Personal/Medium,Pan 267 kcal/100g; Thin n Crispy 274 kcal/100g; Bestseller
2,Pizza - Non-Veg,Nawabi Murg Makhni,"Chicken malai tikka, chicken keema masala, onion, tomato, makhni sauce, buttery spice sprinkle.",Non-Veg,,,,,,Pan 252 kcal/100g; Thin n Crispy 269 kcal/100g; Bestseller; price not visibly printed in source
2,Pizza - Non-Veg,Triple Chicken Feast,"Schezwan chicken meatballs, herbed chicken, chicken sausage, green capsicum, onion, red paprika.",Non-Veg,,,,,,Pan 262 kcal/100g; Thin n Crispy 277 kcal/100g; price not visibly printed in source
2,Crafted Flatz,Overloaded Veggies,"Mozzarella cheese, capsicum, onion, corn, tomato, jalapeño, olives, Texas garlic drizzle.",Veg,,,389,,,345 kcal/100g
2,Crafted Flatz,Paneer Makhni Masala,"Mozzarella cheese, masala paneer, onions, green chilli, red bell pepper, makhni sauce, mint sauce drizzle.",Veg,,,389,,,273 kcal/100g
2,Crafted Flatz,Keema Masala,"Mozzarella cheese, chicken keema, onion, red paprika, green capsicum, makhni sauce, mint sauce drizzle.",Non-Veg,,,429,,,276 kcal/100g
2,Crafted Flatz,Tandoori Chicken,"Mozzarella cheese, tikka duo—chicken tikka & chicken malai tikka, duo peppers—green & red, tandoori sauce, mint drizzle.",Non-Veg,,,429,,,258 kcal/100g
2,Meal Deal,Meal for 1 - Corn & Cheese / Veggie Feast / Spiced Paneer,1 Personal Pizza + 2 Pc Garlic Bread + 1 Pepsi Glass.,Veg,,,329,,Combo,Save up to 31%
2,Meal Deal,Meal for 1 - Tandoori Paneer / Veggie Supreme / Ultimate Tandoori Veggie,1 Personal Pizza + 2 Pc Garlic Bread + 1 Pepsi Glass.,Veg,,,399,,Combo,Save up to 31%
2,Meal Deal,Meal for 1 - Sizzling Schezwan Chicken / Dhabe Da Keema,1 Personal Pizza + 2 Pc Garlic Bread + 1 Pepsi Glass.,Non-Veg,,,379,,Combo,Save up to 31%
2,Meal Deal,Meal for 1 - Chicken Tikka / Chicken Supreme / Chicken Pepperoni,1 Personal Pizza + 2 Pc Garlic Bread + 1 Pepsi Glass.,Non-Veg,,,419,,Combo,Save up to 31%
2,Meal Deal,Meal for 2 - Corn & Cheese / Veggie Feast / Spiced Paneer,1 Medium Pizza + 2 Pepsi Glass.,Veg,,,529,,Combo,Save up to 29%
2,Meal Deal,Meal for 2 - Tandoori Paneer / Veggie Supreme / Ultimate Tandoori Veggie,1 Medium Pizza + 2 Pepsi Glass.,Veg,,,629,,Combo,Save up to 29%
2,Meal Deal,Meal for 2 - Sizzling Schezwan Chicken / Dhabe Da Keema,1 Medium Pizza + 2 Pepsi Glass.,Non-Veg,,,589,,Combo,Save up to 29%
2,Meal Deal,Meal for 2 - Chicken Tikka / Chicken Supreme / Chicken Pepperoni,1 Medium Pizza + 2 Pepsi Glass.,Non-Veg,,,659,,Combo,Save up to 29%
2,Ultimate Meal for 2,Ultimate Meal for 2,"Any 2 Beverages, Any 1 Veg Appetizer, 1 Choco Volcano, Any 1 Medium Pan Pizza.",Veg,,,849,,Combo,Original/struck price ₹949 shown
2,Meal for 4,Meal for 4 - Veg pizza choices,2 Medium Pizza + 4 Pepsi Glass. Choose from Tandoori Paneer / Mexican Fiesta / Country Feast / Bold BBQ Veggies / Spiced Paneer / Veggie Feast.,Veg,,,999,,Combo,Save up to 42%
2,Meal for 4,Meal for 4 - Non-veg pizza choices,2 Medium Pizza + 4 Pepsi Glass. Choose from Chicken Tikka / Chicken Pepperoni / Murg Malai Chicken / Sizzling Schezwan Chicken / Dhabe Da Keema.,Non-Veg,,,1099,,Combo,Save up to 42%
2,Ultimate Meal for 4,Ultimate Meal for 4,"Any 4 Beverages, Any 2 Veg Appetizer, 2 Choco Volcano, Any 2 Medium Pan Pizzas.",Veg,,,1599,,Combo,Original/struck price ₹1699 shown
2,Flavour Fun - Veg,Classic Corn,Corn pizza.,Veg,,,105,,,319 kcal/100g
2,Flavour Fun - Veg,Classic Onion Capsicum,Onion and capsicum pizza.,Veg,,,115,,,307 kcal/100g
2,Flavour Fun - Veg,"Spicy Sweet Corn, Onion & Green Chilli","Sweet corn, onion and green chilli pizza.",Veg,,,149,,,327 kcal/100g
2,Flavour Fun - Veg,Chatpata Tomato Onion & Chilli,"Tomato, onion and chilli pizza.",Veg,,,159,,,328 kcal/100g
2,Flavour Fun - Veg,Cheesy Spicy Delight,Cheesy spicy pizza.,Veg,,,179,,,367 kcal/100g
2,Flavour Fun - Veg,Chilli Paneer Sizzle,Chilli paneer pizza.,Veg,,,205,,,298 kcal/100g
2,Flavour Fun - Non-Veg,Classic Chicken Pepperoni & Onion,Chicken pepperoni and onion pizza.,Non-Veg,,,159,,,332 kcal/100g
2,Flavour Fun - Non-Veg,Classic Herbed Chicken & Capsicum,Herbed chicken and capsicum pizza.,Non-Veg,,,179,,,331 kcal/100g
2,Flavour Fun - Non-Veg,Chatpata Chicken Feast,Chicken feast pizza.,Non-Veg,,,229,,,294 kcal/100g
1,Promotion,Pizza / Pasta / Melts — Choose Any 2,Buy a Pizza / Pasta / Melts and choose any 2 eligible items for ₹59 each.,Veg / Non-Veg,,,59,Promotion,,Header offer shown on page 1; eligibility/terms apply
1,Crust Upgrade,Ultimate Cheese Crust,Add Ultimate Cheese Crust to a pizza.,Veg / Non-Veg,79,99,,Personal / Medium,,Additional ₹79 Personal / ₹99 Medium over listed menu price
1,Crust Upgrade,Thin n Crispy Large,Upgrade any medium pizza to Thin n Crispy Large.,Veg / Non-Veg,,,149,Medium upgrade,,Upgrade any medium pizza @ ₹149
1,Crust Note,Pan Crust,"Crunchy outside, soft & fluffy inside. That's our Original Pan Crust.",Veg / Non-Veg,,,,,,Crust description shown on page 1
